SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,1417.154,-5.615,-1609.509,365.875,-439.81300000000005,3.3539999999999996,53.781000000000006,2320.241,914.1039999999999,-51.535,-123.101,-37.673,-33.895,-35.691,22.303,-58.103,11.949000000000002,23.128,97.055,0.3,aflibercept_input_0012_0003
SCORE:,1943.8370000000002,-5.79,-1631.184,368.936,-452.07199999999995,3.3310000000000004,53.055,2875.448,916.368,-48.29,-124.978,-36.485,-36.384,-33.541,24.044,-57.98,1.527,30.469,97.055,0.309,aflibercept_input_0012_0001
SCORE:,1706.1570000000002,-5.615,-1590.32,368.72900000000004,-445.541,3.3569999999999998,53.676,2628.6220000000003,901.341,-50.416000000000004,-123.101,-37.603,-33.338,-35.955999999999996,19.984,-59.555,1.493,13.045,97.055,0.3,aflibercept_input_0012_0002
SCORE:,2201.712,-5.864,-1589.517,356.606,-453.144,3.326,53.126000000000005,3122.946,910.492,-51.312,-122.068,-38.979,-33.042,-33.321999999999996,24.076,-59.067,2.747,17.346,97.055,0.31,aflibercept_input_0013_0002
SCORE:,1090.738,-5.57,-1622.401,368.625,-447.149,3.4160000000000004,54.839,1992.263,926.3939999999999,-47.528,-125.411,-34.016999999999996,-34.097,-34.681999999999995,26.241,-57.81399999999999,2.339,27.935,97.055,0.298,aflibercept_input_0013_0001
SCORE:,7.544,-5.494,-1596.1979999999999,363.81800000000004,-466.92800000000005,3.51,54.243,957.584,906.2739999999999,-53.403,-123.536,-36.887,-33.571999999999996,-30.816,25.947,-63.558,1.4080000000000001,7.739,97.055,0.358,aflibercept_input_0014_0001
SCORE:,1538.391,-5.715,-1623.54,370.225,-450.292,3.305,54.559,2459.909,918.867,-48.553000000000004,-122.191,-36.676,-33.193000000000005,-31.77,25.141,-57.401,3.489,15.001,97.055,0.171,aflibercept_input_0013_0003
SCORE:,1111.25,-5.494,-1582.239,367.926,-451.30199999999996,3.298,54.085,2028.2179999999998,897.827,-51.92,-122.296,-36.223,-34.041,-35.937,22.53,-57.54,2.041,14.904000000000002,97.055,0.358,aflibercept_input_0014_0002
SCORE:,336.351,-5.494,-1594.108,362.974,-447.298,3.392,55.126999999999995,1246.002,910.8839999999999,-51.082,-122.296,-36.374,-34.902,-33.976,24.365,-58.67100000000001,2.37,18.026,97.055,0.358,aflibercept_input_0014_0003
SCORE:,835.675,-5.775,-1583.239,364.089,-448.53,3.338,54.221000000000004,1756.025,892.828,-50.825,-124.79799999999999,-35.689,-31.39,-32.287,24.566999999999997,-61.57899999999999,2.214,15.183,97.055,0.268,aflibercept_input_0015_0002
SCORE:,1146.04,-5.775,-1585.205,361.139,-448.45300000000003,3.26,52.215,2084.129,899.842,-51.913000000000004,-125.086,-36.089,-32.957,-34.888000000000005,24.607,-64.661,2.596,5.96,97.055,0.268,aflibercept_input_0015_0003
SCORE:,2223.3089999999997,-5.671,-1622.9520000000002,366.309,-470.856,3.353,53.062,3156.95,920.074,-47.574,-125.427,-39.751999999999995,-30.728,-35.427,26.201,-53.494,7.027,25.03,97.055,0.131,aflibercept_input_0016_0002
SCORE:,1139.557,-5.671,-1589.4189999999999,363.811,-440.495,3.295,53.29,2057.766,899.7389999999999,-45.617,-124.545,-41.062,-34.516,-34.716,24.273000000000003,-59.244,1.556,13.927,97.055,0.131,aflibercept_input_0016_0003
SCORE:,979.813,-5.671,-1620.49,361.399,-447.29400000000004,3.3360000000000003,54.443000000000005,1908.604,925.416,-45.037,-124.501,-41.218,-33.333,-35.211,23.143,-58.406000000000006,1.919,15.527999999999999,97.055,0.131,aflibercept_input_0016_0001
SCORE:,1636.0279999999998,-5.775,-1586.746,362.024,-438.62,3.295,52.466,2542.779,903.1080000000001,-50.876000000000005,-123.916,-36.041,-31.750999999999998,-32.063,22.914,-62.8,1.7269999999999999,18.98,97.055,0.268,aflibercept_input_0015_0001
SCORE:,1629.264,-5.603,-1614.604,379.94599999999997,-440.459,3.47,56.313,2489.755,933.6510000000001,-49.928000000000004,-124.73100000000001,-42.486999999999995,-32.165,-31.364,28.563000000000002,-54.739,3.154,33.133,97.055,0.305,aflibercept_input_0017_0002
SCORE:,837.18,-5.761,-1581.895,365.93699999999995,-445.015,3.279,53.172,1731.011,902.138,-49.315,-122.902,-42.576,-32.356,-34.758,21.186,-56.647,21.671999999999997,12.834000000000001,97.055,0.122,aflibercept_input_0018_0001
SCORE:,1497.402,-5.702999999999999,-1594.733,367.69,-457.57800000000003,3.39,53.68899999999999,2409.986,911.549,-49.04600000000001,-123.057,-35.708,-36.775,-36.397,21.781,-53.751000000000005,3.895,20.752,97.055,0.36200000000000004,aflibercept_input_0017_0001
SCORE:,1140.122,-5.702999999999999,-1593.2089999999998,372.24199999999996,-466.101,3.404,53.428000000000004,2069.9539999999997,907.3969999999999,-52.215,-122.863,-35.708,-34.259,-33.334,19.99,-56.817,2.1959999999999997,14.302,97.055,0.36200000000000004,aflibercept_input_0017_0003
SCORE:,1112.524,-5.761,-1592.851,365.642,-454.249,3.355,53.733999999999995,2037.8,911.8560000000001,-47.961000000000006,-123.825,-43.177,-32.295,-34.833,23.000999999999998,-58.952,2.116,11.748,97.055,0.122,aflibercept_input_0018_0002
SCORE:,850.71,-5.494,-1588.908,366.885,-446.12,3.375,54.784,1772.509,889.382,-49.717,-122.296,-37.385,-31.81,-36.366,25.363000000000003,-61.308,1.736,18.668,97.055,0.358,aflibercept_input_0018_0003
SCORE:,709.0269999999999,-5.752000000000001,-1591.9160000000002,370.786,-453.949,3.342,54.513999999999996,1634.335,901.02,-43.903999999999996,-125.905,-40.705,-33.589,-35.266999999999996,24.796,-61.143,2.012,13.105,97.055,0.19,aflibercept_input_0019_0002
SCORE:,1163.891,-5.671,-1597.135,359.18800000000005,-444.356,3.293,53.364,2082.801,899.322,-45.265,-124.51100000000001,-40.37,-31.730999999999998,-33.078,24.178,-61.497,3.302,24.872,97.055,0.131,aflibercept_input_0020_0001
SCORE:,1979.35,-5.752000000000001,-1597.88,360.76599999999996,-452.515,3.279,54.43,2896.048,910.926,-43.301,-123.84,-44.088,-32.797,-34.378,24.77,-57.617,2.9560000000000004,21.096999999999998,97.055,0.19,aflibercept_input_0019_0003
SCORE:,1007.575,-5.558,-1602.161,370.685,-451.996,3.3169999999999997,53.853,1929.726,907.046,-47.075,-124.531,-35.883,-33.274,-35.884,25.668000000000003,-58.753,2.251,12.942,97.055,0.146,aflibercept_input_0020_0003
SCORE:,-205.695,-5.752000000000001,-1604.08,357.64,-465.71,3.262,53.118,740.0039999999999,912.5189999999999,-46.126000000000005,-125.414,-40.465,-35.571,-31.39,23.961,-57.793,2.424,16.432000000000002,97.055,0.19,aflibercept_input_0019_0001
SCORE:,1400.26,-5.558,-1580.92,368.635,-452.314,3.2969999999999997,53.211000000000006,2312.167,901.033,-47.703,-123.906,-38.703,-32.631,-34.760999999999996,22.84,-62.835,4.477,16.729,97.055,0.146,aflibercept_input_0020_0002
SCORE:,1823.3470000000002,-5.603,-1599.639,364.94300000000004,-455.191,3.324,54.246,2707.684,920.1160000000001,-48.951,-125.265,-42.486999999999995,-34.55,-30.846999999999998,22.964000000000002,-48.043,2.137,41.148999999999994,97.055,0.305,aflibercept_input_0021_0001
