SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,-831.308,-5.632000000000001,-1577.981,349.285,-492.978,3.258,52.409,189.73,891.6160000000001,-60.306000000000004,-126.626,-54.105,-34.833,-30.56,24.892,-64.824,1.93,5.995,97.055,0.368,aflibercept_input_0023_0001_0006
SCORE:,-830.7080000000001,-5.619,-1585.614,357.85400000000004,-502.595,3.263,54.016999999999996,191.64,899.823,-66.454,-127.07,-46.928999999999995,-34.227,-32.739000000000004,23.634,-64.611,1.669,5.837999999999999,97.055,0.358,aflibercept_input_0023_0001_0007
SCORE:,-829.301,-5.608,-1583.6229999999998,359.906,-502.80199999999996,3.264,53.131,190.778,897.5089999999999,-62.856,-127.42,-50.549,-34.488,-31.891,23.854,-64.123,1.844,6.346,97.055,0.373,aflibercept_input_0023_0001_0008
SCORE:,-834.5169999999999,-5.617999999999999,-1580.9620000000002,356.718,-498.11699999999996,3.275,52.795,188.638,894.74,-65.793,-126.476,-48.651,-34.299,-33.552,24.46,-65.797,1.6640000000000001,5.039,97.055,0.365,aflibercept_input_0023_0001_0010
SCORE:,-827.7719999999999,-5.666,-1574.703,346.15,-487.777,3.253,54.364,189.637,888.163,-63.18600000000001,-126.48200000000001,-47.032,-33.996,-32.638000000000005,23.484,-66.191,1.801,5.648,97.055,0.345,aflibercept_input_0023_0001_0009
SCORE:,-821.084,-5.655,-1589.375,355.48400000000004,-475.45099999999996,3.3160000000000003,52.667,192.17,887.62,-66.10300000000001,-126.814,-43.208,-34.888000000000005,-36.199,22.965,-62.424,1.426,5.957999999999999,97.055,0.37200000000000005,aflibercept_input_0039_0001_0001
SCORE:,-816.041,-5.502999999999999,-1586.3339999999998,356.226,-474.75,3.304,53.555,195.02900000000002,884.96,-63.065,-128.062,-44.95,-34.98,-37.604,23.011999999999997,-62.434,1.426,6.706,97.055,0.371,aflibercept_input_0039_0001_0003
SCORE:,-810.925,-5.511,-1591.392,364.50199999999995,-484.82199999999995,3.339,53.086999999999996,195.403,893.067,-65.843,-127.63600000000001,-42.965,-34.325,-37.018,24.885,-61.613,1.52,6.974,97.055,0.369,aflibercept_input_0039_0001_0002
SCORE:,-811.2439999999999,-5.518,-1590.003,355.343,-474.699,3.3560000000000003,54.13399999999999,192.90900000000002,890.7719999999999,-64.767,-127.56,-40.915,-34.41,-38.208,23.467,-62.25899999999999,1.51,8.222999999999999,97.055,0.32799999999999996,aflibercept_input_0039_0001_0005
SCORE:,-812.235,-5.635,-1592.707,360.32300000000004,-476.361,3.3369999999999997,53.787,193.327,888.638,-64.96300000000001,-126.825,-41.091,-34.497,-37.157,23.438000000000002,-62.573,1.5,7.837999999999999,97.055,0.32899999999999996,aflibercept_input_0039_0001_0006
